end user,0.252060577273,0.15
firing line,0.402469463646,0.659259
game plan,0.417567573488,0.234483
application form,0.351154461503,0.04
snail mail,0.391203291714,0.737931
web site,0.167119055986,0.242857
flea market,0.289124533534,0.696552
grandfather clock,0.341164648533,0.471429
diamond wedding,0.446025826037,0.659259
guilt trip,0.523254016414,0.562963
silver spoon,0.403246536851,0.696296
rush hour,0.283918082714,0.333333
china clay,0.35533413291,0.22963
cocktail dress,0.380567677319,0.392308
mailing list,0.216728150845,0.0666666
spelling bee,0.317805409431,0.510345
public service,0.201542139053,0.12
head teacher,0.301763594151,0.2
video game,0.149782776833,0.08
spinning jenny,0.398064032197,0.544828
think tank,0.312325209379,0.592308
cash cow,0.43852288276,0.688889
swan song,0.401260972023,0.834483
monkey business,0.424918077886,0.855172
snake oil,0.436534814537,0.85
smoking gun,0.496467262739,0.857143
balance sheet,0.330467745662,0.227586
zebra crossing,0.384099133313,0.75
cutting edge,0.244646966457,0.75
radio station,0.117534250021,0.106667
search engine,0.254581168294,0.336
shrinking violet,0.437066562474,0.786207
face value,0.300097718835,0.392593
human being,0.222011566162,0.0827586
sacred cow,0.459653932601,0.548148
number crunching,0.334070578218,0.524138
silver screen,0.40731472522,0.892308
melting pot,0.366791829467,0.726667
kangaroo court,0.147066712379,0.0666666
ground floor,0.568671375513,0.841379
rat run,0.152774661779,0.12
law firm,0.266461342573,0.326667
polo shirt,0.448845807463,0.907143
ivory tower,0.446314819157,0.675862
lip service,0.183427155018,0.12
health insurance,0.515809830278,0.717241
couch potato,0.324242070317,0.413793
chain reaction,0.379320122302,0.866667
silver bullet,0.197470337152,0.02
graduate student,0.479211959988,0.933333
cloud nine,0.385842211545,0.468966
front runner,0.439707830548,0.848276
agony aunt,0.365892902017,0.571429
rock bottom,0.407560013235,0.755556
acid test,0.21403619647,0.0068966
climate change,0.368164747953,0.503448
lotus position,0.514812545851,0.808
sitting duck,0.267559885979,0.16
car park,0.236355543137,0.837037
gold mine,0.485711291432,0.937931
gravy train,0.299534261227,0.26
case study,0.393174856901,0.614815
night owl,0.393331535161,0.662069
pecking order,0.423944853246,0.703448
eye candy,0.459936216474,0.844444
nest egg,0.307221412659,0.177778
role model,0.446056205779,0.22069
fashion plate,0.444110669196,0.828571
crocodile tear,0.437063999474,0.571429
rat race,0.429910331964,0.714286
crash course,0.447606433183,0.566667
rocket science,0.40191078186,0.536
memory lane,0.237155288458,0.0857142
smoking jacket,0.305812388659,0.0137932
interest rate,0.481614023447,0.456
engine room,0.426085986197,0.255172
blame game,0.520651100203,0.638462
brass ring,0.234724730253,0.0357142
panda car,0.386807903647,0.0689656
research project,0.430914178491,0.696296
call centre,0.189947634935,0.0666666
graveyard shift,0.440647501498,0.421429
credit card,0.152656555176,0.06
cheat sheet,0.417704753578,0.462069
parking lot,0.245267868042,0.241379
fine line,0.243372499943,0.0344828
brick wall,0.133670330048,0.0266666
speed limit,0.238665938377,0.0533334
