('TIME-OF1', ',', '0.911764705882')
('TOPIC_OF_COGNITION&EMOTION', ',', '0.0')
('TIME-OF2', ',', '0.0555555555556')
('PART&MEMBER_OF_COLLECTION&CONFIG&SERIES', ',', '0.103448275862')
('OWNER-USER', ',', '0.31884057971')
('OBTAIN&ACCESS&SEEK', ',', '0.0384615384615')
('TOPIC_OF_EXPERT', ',', '0.0')
('CONTAIN', ',', '0.116279069767')
('AMOUNT-OF', ',', '0.0')
('JUSTIFICATION', ',', '0.111111111111')
('CREATOR-PROVIDER-CAUSE_OF', ',', '0.0243902439024')
('MEANS', ',', '0.333333333333')
('SUBSTANCE-MATERIAL-INGREDIENT', ',', '0.447368421053')
('EMPLOYER', ',', '0.356164383562')
('PERFORM&ENGAGE_IN', ',', '0.766990291262')
('MEASURE', ',', '0.970588235294')
('LEXICALIZED', ',', '0.037037037037')
('LOCATION', ',', '0.574850299401')
('VARIETY&GENUS_OF', ',', '0.25')
('PARTIAL_ATTRIBUTE_TRANSFER', ',', '0.1')
('OTHER', ',', '0.0736196319018')
('EXPERIENCER-OF-EXPERIENCE', ',', '0.0')
('USER_RECIPIENT', ',', '0.161290322581')
('OBJECTIVE', ',', '0.470941883768')
('WHOLE+PART_OR_MEMBER_OF', ',', '0.169811320755')
('MITIGATE&OPPOSE', ',', '0.0')
('RELATIONAL-NOUN-COMPLEMENT', ',', '0.0248447204969')
('ORGANIZE&SUPERVISE&AUTHORITY', ',', '0.117647058824')
('TOPIC', ',', '0.155440414508')
('ADJ-LIKE_NOUN', ',', '1.0')
('PURPOSE', ',', '0.106060606061')
('WHOLE+ATTRIBUTE&FEATURE&QUALITY_VALUE_IS_CHARACTERISTIC_OF', ',', '0.0')
('CREATE-PROVIDE-GENERATE-SELL', ',', '0.286549707602')
('EQUATIVE', ',', '0.370786516854')
('SUBJECT', ',', '0.346534653465')
