('TIME-OF1', ',', '0.8674698795180723')
('TOPIC_OF_COGNITION&EMOTION', ',', '0.6923076923076923')
('TIME-OF2', ',', '0.6666666666666666')
('PART&MEMBER_OF_COLLECTION&CONFIG&SERIES', ',', '0.44776119402985076')
('OWNER-USER', ',', '0.41975308641975306')
('OBTAIN&ACCESS&SEEK', ',', '0.23529411764705882')
('TOPIC_OF_EXPERT', ',', '0.7307692307692307')
('CONTAIN', ',', '0.3404255319148936')
('AMOUNT-OF', ',', '0.9117647058823529')
('JUSTIFICATION', ',', '0.45454545454545453')
('CREATOR-PROVIDER-CAUSE_OF', ',', '0.559322033898305')
('MEANS', ',', '0.25862068965517243')
('SUBSTANCE-MATERIAL-INGREDIENT', ',', '0.6868686868686869')
('EMPLOYER', ',', '0.7333333333333333')
('PERFORM&ENGAGE_IN', ',', '0.7374429223744292')
('MEASURE', ',', '0.8509316770186336')
('LEXICALIZED', ',', '0.0')
('LOCATION', ',', '0.49489795918367346')
('VARIETY&GENUS_OF', ',', '1.0')
('PARTIAL_ATTRIBUTE_TRANSFER', ',', '0.14285714285714285')
('OTHER', ',', '0.527363184079602')
('EXPERIENCER-OF-EXPERIENCE', ',', '0.4')
('USER_RECIPIENT', ',', '0.3902439024390244')
('OBJECTIVE', ',', '0.848531684698609')
('WHOLE+PART_OR_MEMBER_OF', ',', '0.4393939393939394')
('MITIGATE&OPPOSE', ',', '0.4666666666666667')
('RELATIONAL-NOUN-COMPLEMENT', ',', '0.8632075471698113')
('ORGANIZE&SUPERVISE&AUTHORITY', ',', '0.5901639344262295')
('TOPIC', ',', '0.8533834586466166')
('ADJ-LIKE_NOUN', ',', '1.0')
('PURPOSE', ',', '0.5342465753424658')
('WHOLE+ATTRIBUTE&FEATURE&QUALITY_VALUE_IS_CHARACTERISTIC_OF', ',', '0.25')
('CREATE-PROVIDE-GENERATE-SELL', ',', '0.5483870967741935')
('EQUATIVE', ',', '0.5317073170731708')
('SUBJECT', ',', '0.6691176470588235')
