('TIME-OF1', ',', '0.161764705882')
('TOPIC_OF_COGNITION&EMOTION', ',', '0.8')
('TIME-OF2', ',', '0.944444444444')
('PART&MEMBER_OF_COLLECTION&CONFIG&SERIES', ',', '0.431034482759')
('OWNER-USER', ',', '0.304347826087')
('OBTAIN&ACCESS&SEEK', ',', '0.269230769231')
('TOPIC_OF_EXPERT', ',', '0.833333333333')
('CONTAIN', ',', '0.395348837209')
('AMOUNT-OF', ',', '0.928571428571')
('JUSTIFICATION', ',', '0.777777777778')
('CREATOR-PROVIDER-CAUSE_OF', ',', '0.560975609756')
('MEANS', ',', '0.156862745098')
('SUBSTANCE-MATERIAL-INGREDIENT', ',', '0.447368421053')
('EMPLOYER', ',', '0.397260273973')
('PERFORM&ENGAGE_IN', ',', '0.626213592233')
('MEASURE', ',', '0.235294117647')
('LEXICALIZED', ',', '0.037037037037')
('LOCATION', ',', '0.263473053892')
('VARIETY&GENUS_OF', ',', '0.75')
('PARTIAL_ATTRIBUTE_TRANSFER', ',', '0.2')
('OTHER', ',', '0.429447852761')
('EXPERIENCER-OF-EXPERIENCE', ',', '0.7')
('USER_RECIPIENT', ',', '0.129032258065')
('OBJECTIVE', ',', '0.831663326653')
('WHOLE+PART_OR_MEMBER_OF', ',', '0.264150943396')
('MITIGATE&OPPOSE', ',', '0.545454545455')
('RELATIONAL-NOUN-COMPLEMENT', ',', '0.875776397516')
('ORGANIZE&SUPERVISE&AUTHORITY', ',', '0.627450980392')
('TOPIC', ',', '0.844559585492')
('ADJ-LIKE_NOUN', ',', '0.0357142857143')
('PURPOSE', ',', '0.484848484848')
('WHOLE+ATTRIBUTE&FEATURE&QUALITY_VALUE_IS_CHARACTERISTIC_OF', ',', '0.545454545455')
('CREATE-PROVIDE-GENERATE-SELL', ',', '0.321637426901')
('EQUATIVE', ',', '0.398876404494')
('SUBJECT', ',', '0.207920792079')
